Date,AveragePrice,TotalVolume,plu4046,plu4225,plu4770,TotalBags,SmallBags,LargeBags,XLargeBags,type,region
9/01/2023,1035055622,323805.91,93530.93,70503.7,311.27,94823.28,NA,NA,NA,conventional,RichmondNorfolk
9/01/2023,0.935933024,185649.39,57343.88,21727.78,467.95,51329.95,NA,NA,NA,conventional,Roanoke
9/01/2023,1237178417,474348.07,136493.03,91969.47,441.28,121382.99,NA,NA,NA,conventional,Sacramento
9/01/2023,1200648537,520145.24,102101.78,8953.18,15131.95,116729.15,NA,NA,NA,conventional,SanDiego
9/01/2023,1107996988,896915.62,325305.66,74427.85,1390.72,126345.43,NA,NA,NA,conventional,SanFrancisco
9/01/2023,1180225082,583972.87,82117.64,72113.04,4437.15,89520.05,NA,NA,NA,conventional,Seattle
9/01/2023,105214858,521173.74,214372.95,45904.43,338.52,132541.3,NA,NA,NA,conventional,SouthCarolina
9/01/2023,0.980726495,92737.45,20151.66,11797.74,5.67,20468.64,NA,NA,NA,conventional,Spokane
9/01/2023,0.875629953,234880.11,93452.75,5302.5,10.39,64433.32,NA,NA,NA,conventional,StLouis
9/01/2023,1093436016,84814.68,12341.76,36876.22,261.02,32263.77,NA,NA,NA,conventional,Syracuse
9/01/2023,0.885274124,700023.75,351136.54,5467.35,84.1,198575.39,NA,NA,NA,conventional,Tampa
9/01/2023,0.976691841,133940.41,21584.24,24283.24,4909.65,29908.02,NA,NA,NA,conventional,Toledo
9/01/2023,0.794231284,944779.86,253963.92,79331.18,4190.48,333724.97,NA,NA,NA,conventional,WestTexNewMexico
9/01/2023,0.797687226,119417.42,28000.82,6562.03,48.66,31980.06,NA,NA,NA,conventional,Wichita
9/01/2023,1162430102,5997016.95,1568327.73,313942.64,147861.97,1228482.28,NA,NA,NA,conventional,California
9/01/2023,1022676571,3961238.68,744626.45,623248.95,134940.53,1007081.1,NA,NA,NA,conventional,GreatLakes
9/01/2023,1098627336,4037045.17,1098379.94,802529.87,9215.5,1304177.69,NA,NA,NA,conventional,Midsouth
9/01/2023,1240815661,5070725.23,712899.96,2426454.19,30161.84,1515454.81,NA,NA,NA,conventional,Northeast
9/01/2023,0.948345618,1994891.2,664587.52,372014.93,4426.91,600963.6,NA,NA,NA,conventional,Plains
9/01/2023,0.802072072,5273093.91,1641059.84,522287.05,31018.15,1759870.26,NA,NA,NA,conventional,SouthCentral
9/01/2023,0.92513009,5791258.15,2842561.06,166189.88,1152.85,1341591.72,NA,NA,NA,conventional,Southeast
9/01/2023,0.937525924,6919281.79,1397901.46,822332.99,25222.59,1473368.37,NA,NA,NA,conventional,West
9/01/2023,1017175055,39044551.08,10670343.94,6049000.49,384000.35,10230989.84,NA,NA,NA,conventional,TotalUS
9/01/2023,1933881817,2682.33,20.35,412.48,1.02,2069.33,NA,NA,NA,organic,Albany
9/01/2023,109553857,106805.09,163.96,16952.74,0,41908.08,NA,NA,NA,organic,Atlanta
9/01/2023,1616551854,51433.36,502.66,2743.32,13.78,42722.9,NA,NA,NA,organic,BaltimoreWashington
9/01/2023,0.98509928,20998.17,42.52,797.7,0,15924.28,NA,NA,NA,organic,BirminghamMontgomery
9/01/2023,174031482,10182.33,103.03,1977.97,0,1159.2,NA,NA,NA,organic,Boise
9/01/2023,1775581105,31983.77,75.71,1640.33,0,29546.39,NA,NA,NA,organic,Boston
9/01/2023,1708188627,11611.09,606.27,41.1,0,10940.85,NA,NA,NA,organic,BuffaloRochester
9/01/2023,1571785305,19771.78,138.16,2062.35,15.48,17062.3,NA,NA,NA,organic,Charlotte
9/01/2023,1570182143,42074.48,604.35,7321.07,0,16350.91,NA,NA,NA,organic,Chicago
9/01/2023,1684416764,8535.19,14.74,1586.02,0,3220.33,NA,NA,NA,organic,CincinnatiDayton
9/01/2023,1847322105,7440.1,429.18,609.55,0,3104.64,NA,NA,NA,organic,Columbus
9/01/2023,1319401763,40384.89,4974.62,400.77,0,23379.31,NA,NA,NA,organic,DallasFtWorth
9/01/2023,1192300008,119507.09,13103.81,641.18,2.13,3485.08,NA,NA,NA,organic,Denver
9/01/2023,1685811378,11314.57,287.83,1808.37,0,5740.5,NA,NA,NA,organic,Detroit
9/01/2023,1448230991,4705.05,8.33,805.91,0,3890.81,NA,NA,NA,organic,GrandRapids
9/01/2023,1589610674,13901.45,257.12,436.54,0,13188.91,NA,NA,NA,organic,HarrisburgScranton
9/01/2023,1934887127,16336.82,288.73,4230.19,0,11785.32,NA,NA,NA,organic,HartfordSpringfield
9/01/2023,1266585524,17990.66,3931.46,56.79,0,8156.52,NA,NA,NA,organic,Houston
9/01/2023,1575316407,6790.91,120.75,594.58,0,3324.11,NA,NA,NA,organic,Indianapolis
9/01/2023,0.748395134,27506.65,116.43,154.56,0,27159.26,NA,NA,NA,organic,Jacksonville
9/01/2023,1461622066,12506.33,1044.55,387.88,0,3872.93,NA,NA,NA,organic,LasVegas
9/01/2023,1118153616,263726.48,18516.67,999.17,0,56141.48,NA,NA,NA,organic,LosAngeles
9/01/2023,1869402953,5158.65,20.79,571.53,0,1218.34,NA,NA,NA,organic,Louisville
9/01/2023,1059619685,63413.87,668.75,0,0,25347.91,NA,NA,NA,organic,MiamiFtLauderdale
9/01/2023,1298392184,20185.98,98.81,2154.32,0,5161.89,NA,NA,NA,organic,Nashville
9/01/2023,205758113,13168.13,63.77,327,0,10598.22,NA,NA,NA,organic,NorthernNewEngland
9/01/2023,1093456167,6546.44,162.12,57.36,0,3571.93,NA,NA,NA,organic,NewOrleans
9/01/2023,1778681612,81752.02,3869.37,2128.95,0,67530.01,NA,NA,NA,organic,NewYork
9/01/2023,0.83366741,61975.43,477.07,0,0,43298.34,NA,NA,NA,organic,Orlando
9/01/2023,1645126244,2814.31,0,239.22,0,1780.44,NA,NA,NA,organic,PeoriaSpringfield
9/01/2023,1702870553,24964,1288.02,969.51,0,20065.48,NA,NA,NA,organic,Philadelphia
9/01/2023,1344514219,25703.85,2080.21,1044.03,0,10648.84,NA,NA,NA,organic,PhoenixTucson
9/01/2023,1481316795,8635.01,1271.84,1.36,0,6439.12,NA,NA,NA,organic,Pittsburgh
9/01/2023,1851897333,76916.48,70.9,18609.99,1.33,3376.28,NA,NA,NA,organic,Portland
9/01/2023,1739549109,4153.79,9.7,5.54,0,4138.54,NA,NA,NA,organic,Providence
9/01/2023,1553642385,26519.48,489.35,1898.51,6.4,23885.13,NA,NA,NA,organic,RaleighGreensboro
9/01/2023,1484586191,41178.2,7.52,3768.68,1.07,18623.51,NA,NA,NA,organic,RichmondNorfolk
9/01/2023,1639856356,28218.78,2.83,3293.07,0,5284.15,NA,NA,NA,organic,Roanoke
9/01/2023,1210545802,37643.3,2542.4,1189.17,0,30224.8,NA,NA,NA,organic,Sacramento
9/01/2023,1411042804,38880.48,3652.34,498.29,0,6283.07,NA,NA,NA,organic,SanDiego
9/01/2023,1991077908,68496.27,4026.93,1647.83,0,43029.75,NA,NA,NA,organic,SanFrancisco
9/01/2023,2009679452,104098.83,610.07,18445.25,24.62,5602.01,NA,NA,NA,organic,Seattle
9/01/2023,1171417131,54523.64,743.14,5033.66,1.17,38625.74,NA,NA,NA,organic,SouthCarolina
9/01/2023,1914994251,7689.61,55.97,2013.34,0,988.71,NA,NA,NA,organic,Spokane
9/01/2023,1454212503,16356.25,6357.47,883.93,0,3215.36,NA,NA,NA,organic,StLouis
9/01/2023,1666793814,4347.98,181.2,96.48,0,3934.82,NA,NA,NA,organic,Syracuse
9/01/2023,1099814388,29901.14,527.97,0,0,13253.72,NA,NA,NA,organic,Tampa
9/01/2023,1573088223,3241.07,12.77,268.22,0,1866.17,NA,NA,NA,organic,Toledo
9/01/2023,1178996289,30735.84,726.54,102.79,0,23390.06,NA,NA,NA,organic,WestTexNewMexico
9/01/2023,1280024291,2815.38,436.18,6.37,0,1163.79,NA,NA,NA,organic,Wichita
9/01/2023,1316453231,494165.73,35454.19,6203.89,0,182990.54,NA,NA,NA,organic,California
9/01/2023,1569126226,132278.44,4134.15,16412.49,0,68164.72,NA,NA,NA,organic,GreatLakes
9/01/2023,1518253237,273117.6,1717.28,24611.76,49.88,167877.72,NA,NA,NA,organic,Midsouth
9/01/2023,1767043826,230555.61,8937.76,11428.94,1.03,194490.86,NA,NA,NA,organic,Northeast
9/01/2023,1225000404,80530.06,15753.58,2041.9,0,53809.87,NA,NA,NA,organic,Plains
9/01/2023,1232023572,148164.42,17119.87,2851.52,0,101270.08,NA,NA,NA,organic,SouthCentral
9/01/2023,1004620267,493647.68,3615.36,28964,2.3,293429.05,NA,NA,NA,organic,Southeast
9/01/2023,1566826025,530333.11,27827.25,58622.22,29.7,73549.73,NA,NA,NA,organic,West
9/01/2023,1379990319,2382792.66,114559.45,151136.72,82.91,1135582.56,NA,NA,NA,organic,TotalUS
15/01/2023,1064087046,124806.13,22887.57,71058.74,19.21,22717.32,NA,NA,NA,conventional,Albany
15/01/2023,0.924185306,807455.47,352523.78,27575.65,137.14,85555.04,NA,NA,NA,conventional,Atlanta
15/01/2023,1261764668,978518.44,154698.02,380908.74,1814.07,364369.38,NA,NA,NA,conventional,BaltimoreWashington
15/01/2023,0.852397157,378705.83,181118.04,5447.22,40,80208.99,NA,NA,NA,conventional,BirminghamMontgomery
15/01/2023,1058398586,107056.37,26573.59,5608.51,162.28,20914.04,NA,NA,NA,conventional,Boise
15/01/2023,1413767351,585173.85,42374.44,307437.14,61.47,154953.66,NA,NA,NA,conventional,Boston
15/01/2023,110776251,192762.9,29713.16,55065.9,1148.55,101016.12,NA,NA,NA,conventional,BuffaloRochester
15/01/2023,1080781035,388824.48,132018.95,78978.78,1088.83,130412.6,NA,NA,NA,conventional,Charlotte
15/01/2023,1028269789,994629.57,153205.6,122156.35,61291.68,219297.58,NA,NA,NA,conventional,Chicago
15/01/2023,1046877371,319738.39,44352.16,64320.9,11864.35,53596.98,NA,NA,NA,conventional,CincinnatiDayton
15/01/2023,0.988861828,272330.56,61537.1,20372.38,10354.7,42402.05,NA,NA,NA,conventional,Columbus
15/01/2023,0.77458181,1559013.04,350104.42,140745.75,8478.11,600536.73,NA,NA,NA,conventional,DallasFtWorth
15/01/2023,1017178937,835065.29,179858.88,66997.84,2976.87,268384.92,NA,NA,NA,conventional,Denver
15/01/2023,1026764452,525630.63,94501.04,56676.19,59092.36,114475.02,NA,NA,NA,conventional,Detroit
15/01/2023,1318455398,207925.43,19863.86,49229.42,65636.97,43403.34,NA,NA,NA,conventional,GrandRapids
15/01/2023,1062340566,423464.69,148709.23,114731.93,23309.19,125801.04,NA,NA,NA,conventional,HarrisburgScranton
15/01/2023,1340707523,359613.52,17883.96,257098.92,1074.07,71748.49,NA,NA,NA,conventional,HartfordSpringfield
15/01/2023,0.791852151,1009678.75,257013.59,173507.51,1313.85,306915.12,NA,NA,NA,conventional,Houston
15/01/2023,0.942968291,291727.29,60970.32,33404.11,15025.38,55304.54,NA,NA,NA,conventional,Indianapolis
15/01/2023,0.94261838,267803.8,147622.39,4728.8,31.85,57401.28,NA,NA,NA,conventional,Jacksonville
